id,name,height_dm,weight_hg,base_experience,type_1,type_2,hp,attack,defense
540,sewaddle,3,25,62.0,bug,grass,45,53,70
541,swadloon,5,73,133.0,bug,grass,55,63,90
542,leavanny,12,205,225.0,bug,grass,75,103,80
543,venipede,4,53,52.0,bug,poison,30,45,59
544,whirlipede,12,585,126.0,bug,poison,40,55,99
545,scolipede,25,2005,218.0,bug,poison,60,100,89
546,cottonee,3,6,56.0,grass,fairy,40,27,60
547,whimsicott,7,66,168.0,grass,fairy,60,67,85
548,petilil,5,66,56.0,grass,,45,35,50
549,lilligant,11,163,168.0,grass,,70,60,75
550,basculin-red-striped,10,180,161.0,water,,70,92,65
551,sandile,7,152,58.0,ground,dark,50,72,35
552,krokorok,10,334,123.0,ground,dark,60,82,45
553,krookodile,15,963,234.0,ground,dark,95,117,80
554,darumaka,6,375,63.0,fire,,70,90,45
555,darmanitan-standard,13,929,168.0,fire,,105,140,55
556,maractus,10,280,161.0,grass,,75,86,67
557,dwebble,3,145,65.0,bug,rock,50,65,85
558,crustle,14,2000,170.0,bug,rock,70,105,125
559,scraggy,6,118,70.0,dark,fighting,50,75,70
560,scrafty,11,300,171.0,dark,fighting,65,90,115
561,sigilyph,14,140,172.0,psychic,flying,72,58,80
562,yamask,5,15,61.0,ghost,,38,30,85
563,cofagrigus,17,765,169.0,ghost,,58,50,145
564,tirtouga,7,165,71.0,water,rock,54,78,103
565,carracosta,12,810,173.0,water,rock,74,108,133
566,archen,5,95,71.0,rock,flying,55,112,45
567,archeops,14,320,177.0,rock,flying,75,140,65
568,trubbish,6,310,66.0,poison,,50,50,62
569,garbodor,19,1073,166.0,poison,,80,95,82
570,zorua,7,125,66.0,dark,,40,65,40
571,zoroark,16,811,179.0,dark,,60,105,60
572,minccino,4,58,60.0,normal,,55,50,40
573,cinccino,5,75,165.0,normal,,75,95,60
574,gothita,4,58,58.0,psychic,,45,30,50
575,gothorita,7,180,137.0,psychic,,60,45,70
576,gothitelle,15,440,221.0,psychic,,70,55,95
577,solosis,3,10,58.0,psychic,,45,30,40
578,duosion,6,80,130.0,psychic,,65,40,50
579,reuniclus,10,201,221.0,psychic,,110,65,75
580,ducklett,5,55,61.0,water,flying,62,44,50
581,swanna,13,242,166.0,water,flying,75,87,63
582,vanillite,4,57,61.0,ice,,36,50,50
583,vanillish,11,410,138.0,ice,,51,65,65
584,vanilluxe,13,575,241.0,ice,,71,95,85
585,deerling,6,195,67.0,normal,grass,60,60,50
586,sawsbuck,19,925,166.0,normal,grass,80,100,70
587,emolga,4,50,150.0,electric,flying,55,75,60
588,karrablast,5,59,63.0,bug,,50,75,45
589,escavalier,10,330,173.0,bug,steel,70,135,105
590,foongus,2,10,59.0,grass,poison,69,55,45
591,amoonguss,6,105,162.0,grass,poison,114,85,70
592,frillish-male,12,330,67.0,water,ghost,55,40,50
593,jellicent-male,22,1350,168.0,water,ghost,100,60,70
594,alomomola,12,316,165.0,water,,165,75,80
595,joltik,1,6,64.0,bug,electric,50,47,50
596,galvantula,8,143,165.0,bug,electric,70,77,60
597,ferroseed,6,188,61.0,grass,steel,44,50,91
598,ferrothorn,10,1100,171.0,grass,steel,74,94,131
599,klink,3,210,60.0,steel,,40,55,70
600,klang,6,510,154.0,steel,,60,80,95
601,klinklang,6,810,234.0,steel,,60,100,115
602,tynamo,2,3,55.0,electric,,35,55,40
603,eelektrik,12,220,142.0,electric,,65,85,70
604,eelektross,21,805,232.0,electric,,85,115,80
605,elgyem,5,90,67.0,psychic,,55,55,55
606,beheeyem,10,345,170.0,psychic,,75,75,75
607,litwick,3,31,55.0,ghost,fire,50,30,55
608,lampent,6,130,130.0,ghost,fire,60,40,60
609,chandelure,10,343,234.0,ghost,fire,60,55,90
610,axew,6,180,64.0,dragon,,46,87,60
611,fraxure,10,360,144.0,dragon,,66,117,70
612,haxorus,18,1055,243.0,dragon,,76,147,90
613,cubchoo,5,85,61.0,ice,,55,70,40
614,beartic,26,2600,177.0,ice,,95,130,80
615,cryogonal,11,1480,180.0,ice,,80,50,50
616,shelmet,4,77,61.0,bug,,50,40,85
617,accelgor,8,253,173.0,bug,,80,70,40
618,stunfisk,7,110,165.0,ground,electric,109,66,84
619,mienfoo,9,200,70.0,fighting,,45,85,50
620,mienshao,14,355,179.0,fighting,,65,125,60
621,druddigon,16,1390,170.0,dragon,,77,120,90
622,golett,10,920,61.0,ground,ghost,59,74,50
623,golurk,28,3300,169.0,ground,ghost,89,124,80
624,pawniard,5,102,68.0,dark,steel,45,85,70
625,bisharp,16,700,172.0,dark,steel,65,125,100
626,bouffalant,16,946,172.0,normal,,95,110,95
627,rufflet,5,105,70.0,normal,flying,70,83,50
628,braviary,15,410,179.0,normal,flying,100,123,75
629,vullaby,5,90,74.0,dark,flying,70,55,75
630,mandibuzz,12,395,179.0,dark,flying,110,65,105
631,heatmor,14,580,169.0,fire,,85,97,66
632,durant,3,330,169.0,bug,steel,58,109,112
633,deino,8,173,60.0,dark,dragon,52,65,50
634,zweilous,14,500,147.0,dark,dragon,72,85,70
635,hydreigon,18,1600,270.0,dark,dragon,92,105,90
636,larvesta,11,288,72.0,bug,fire,55,85,55
637,volcarona,16,460,248.0,bug,fire,85,60,65
638,cobalion,21,2500,261.0,steel,fighting,91,90,129
639,terrakion,19,2600,261.0,rock,fighting,91,129,90
640,virizion,20,2000,261.0,grass,fighting,91,90,72
641,tornadus-incarnate,15,630,261.0,flying,,79,115,70
642,thundurus-incarnate,15,610,261.0,electric,flying,79,115,70
643,reshiram,32,3300,306.0,dragon,fire,100,120,100
644,zekrom,29,3450,306.0,dragon,electric,100,150,120
645,landorus-incarnate,15,680,270.0,ground,flying,89,125,90
646,kyurem,30,3250,297.0,dragon,ice,125,130,90
647,keldeo-ordinary,14,485,261.0,water,fighting,91,72,90
648,meloetta-aria,6,65,270.0,normal,psychic,100,77,77
649,genesect,15,825,270.0,bug,steel,71,120,95
650,chespin,4,90,63.0,grass,,56,61,65
651,quilladin,7,290,142.0,grass,,61,78,95
652,chesnaught,16,900,239.0,grass,fighting,88,107,122
653,fennekin,4,94,61.0,fire,,40,45,40
654,braixen,10,145,143.0,fire,,59,59,58
655,delphox,15,390,240.0,fire,psychic,75,69,72
656,froakie,3,70,63.0,water,,41,56,40
657,frogadier,6,109,142.0,water,,54,63,52
658,greninja,15,400,239.0,water,dark,72,95,67
659,bunnelby,4,50,47.0,normal,,38,36,38
660,diggersby,10,424,148.0,normal,ground,85,56,77
661,fletchling,3,17,56.0,normal,flying,45,50,43
662,fletchinder,7,160,134.0,fire,flying,62,73,55
663,talonflame,12,245,175.0,fire,flying,78,81,71
664,scatterbug,3,25,40.0,bug,,38,35,40
665,spewpa,3,84,75.0,bug,,45,22,60
666,vivillon,12,170,185.0,bug,flying,80,52,50
667,litleo,6,135,74.0,fire,normal,62,50,58
668,pyroar-male,15,815,177.0,fire,normal,86,68,72
669,flabebe,1,1,61.0,fairy,,44,38,39
670,floette,2,9,130.0,fairy,,54,45,47
671,florges,11,100,248.0,fairy,,78,65,68
672,skiddo,9,310,70.0,grass,,66,65,48
673,gogoat,17,910,186.0,grass,,123,100,62
674,pancham,6,80,70.0,fighting,,67,82,62
675,pangoro,21,1360,173.0,fighting,dark,95,124,78
676,furfrou,12,280,165.0,normal,,75,80,60
677,espurr,3,35,71.0,psychic,,62,48,54
678,meowstic-male,6,85,163.0,psychic,,74,48,76
679,honedge,8,20,65.0,steel,ghost,45,80,100
680,doublade,8,45,157.0,steel,ghost,59,110,150
681,aegislash-shield,17,530,234.0,steel,ghost,60,50,140
682,spritzee,2,5,68.0,fairy,,78,52,60
683,aromatisse,8,155,162.0,fairy,,101,72,72
684,swirlix,4,35,68.0,fairy,,62,48,66
685,slurpuff,8,50,168.0,fairy,,82,80,86
686,inkay,4,35,58.0,dark,psychic,53,54,53
687,malamar,15,470,169.0,dark,psychic,86,92,88
688,binacle,5,310,61.0,rock,water,42,52,67
689,barbaracle,13,960,175.0,rock,water,72,105,115
690,skrelp,5,73,64.0,poison,water,50,60,60
691,dragalge,18,815,173.0,poison,dragon,65,75,90
692,clauncher,5,83,66.0,water,,50,53,62
693,clawitzer,13,353,100.0,water,,71,73,88
694,helioptile,5,60,58.0,electric,normal,44,38,33
695,heliolisk,10,210,168.0,electric,normal,62,55,52
696,tyrunt,8,260,72.0,rock,dragon,58,89,77
697,tyrantrum,25,2700,182.0,rock,dragon,82,121,119
698,amaura,13,252,72.0,rock,ice,77,59,50
699,aurorus,27,2250,104.0,rock,ice,123,77,72
700,sylveon,10,235,184.0,fairy,,95,65,65
701,hawlucha,8,215,175.0,fighting,flying,78,92,75
702,dedenne,2,22,151.0,electric,fairy,67,58,57
703,carbink,3,57,100.0,rock,fairy,50,50,150
704,goomy,3,28,60.0,dragon,,45,50,35
705,sliggoo,8,175,158.0,dragon,,68,75,53
706,goodra,20,1505,270.0,dragon,,90,100,70
707,klefki,2,30,165.0,steel,fairy,57,80,91
708,phantump,4,70,62.0,ghost,grass,43,70,48
709,trevenant,15,710,166.0,ghost,grass,85,110,76
710,pumpkaboo-average,4,50,67.0,ghost,grass,49,66,70
711,gourgeist-average,9,125,173.0,ghost,grass,65,90,122
712,bergmite,10,995,61.0,ice,,55,69,85
713,avalugg,20,5050,180.0,ice,,95,117,184
714,noibat,5,80,49.0,flying,dragon,40,30,35
715,noivern,15,850,187.0,flying,dragon,85,70,80
716,xerneas,30,2150,306.0,fairy,,126,131,95
717,yveltal,58,2030,306.0,dark,flying,126,131,95
718,zygarde-50,50,3050,270.0,dragon,ground,108,100,121
719,diancie,7,88,270.0,rock,fairy,50,100,150
720,hoopa,5,90,270.0,psychic,ghost,80,110,60
721,volcanion,17,1950,270.0,fire,water,80,110,120
722,rowlet,3,15,64.0,grass,flying,68,55,55
723,dartrix,7,160,147.0,grass,flying,78,75,75
724,decidueye,16,366,239.0,grass,ghost,78,107,75
725,litten,4,43,64.0,fire,,45,65,40
726,torracat,7,250,147.0,fire,,65,85,50
727,incineroar,18,830,239.0,fire,dark,95,115,90
728,popplio,4,75,64.0,water,,50,54,54
729,brionne,6,175,147.0,water,,60,69,69
730,primarina,18,440,239.0,water,fairy,80,74,74
731,pikipek,3,12,53.0,normal,flying,35,75,30
732,trumbeak,6,148,124.0,normal,flying,55,85,50
733,toucannon,11,260,218.0,normal,flying,80,120,75
734,yungoos,4,60,51.0,normal,,48,70,30
735,gumshoos,7,142,146.0,normal,,88,110,60
736,grubbin,4,44,60.0,bug,,47,62,45
737,charjabug,5,105,140.0,bug,electric,57,82,95
738,vikavolt,15,450,225.0,bug,electric,77,70,90
739,crabrawler,6,70,68.0,fighting,,47,82,57
740,crabominable,17,1800,167.0,fighting,ice,97,132,77
741,oricorio-baile,6,34,167.0,fire,flying,75,70,70
742,cutiefly,1,2,61.0,bug,fairy,40,45,40
743,ribombee,2,5,162.0,bug,fairy,60,55,60
744,rockruff,5,92,56.0,rock,,45,65,40
745,lycanroc-midday,8,250,170.0,rock,,75,115,65
746,wishiwashi-solo,2,3,61.0,water,,45,20,20
747,mareanie,4,80,61.0,poison,water,50,53,62
748,toxapex,7,145,173.0,poison,water,50,63,152
749,mudbray,10,1100,77.0,ground,,70,100,70
750,mudsdale,25,9200,175.0,ground,,100,125,100
751,dewpider,3,40,54.0,water,bug,38,40,52
752,araquanid,18,820,159.0,water,bug,68,70,92
753,fomantis,3,15,50.0,grass,,40,55,35
754,lurantis,9,185,168.0,grass,,70,105,90
755,morelull,2,15,57.0,grass,fairy,40,35,55
756,shiinotic,10,115,142.0,grass,fairy,60,45,80
757,salandit,6,48,64.0,poison,fire,48,44,40
758,salazzle,12,222,168.0,poison,fire,68,64,60
759,stufful,5,68,68.0,normal,fighting,70,75,50
760,bewear,21,1350,175.0,normal,fighting,120,125,80
761,bounsweet,3,32,42.0,grass,,42,30,38
762,steenee,7,82,102.0,grass,,52,40,48
763,tsareena,12,214,230.0,grass,,72,120,98
764,comfey,1,3,170.0,fairy,,51,52,90
765,oranguru,15,760,172.0,normal,psychic,90,60,80
766,passimian,20,828,172.0,fighting,,100,120,90
767,wimpod,5,120,46.0,bug,water,25,35,40
768,golisopod,20,1080,186.0,bug,water,75,125,140
769,sandygast,5,700,64.0,ghost,ground,55,55,80
770,palossand,13,2500,168.0,ghost,ground,85,75,110
771,pyukumuku,3,12,144.0,water,,55,60,130
772,type-null,19,1205,107.0,normal,,95,95,95
773,silvally,23,1005,257.0,normal,,95,95,95
774,minior-red-meteor,3,400,154.0,rock,flying,60,60,100
775,komala,4,199,168.0,normal,,65,115,65
776,turtonator,20,2120,170.0,fire,dragon,60,78,135
777,togedemaru,3,33,152.0,electric,steel,65,98,63
778,mimikyu-disguised,2,7,167.0,ghost,fairy,55,90,80
779,bruxish,9,190,166.0,water,psychic,68,105,70
780,drampa,30,1850,170.0,normal,dragon,78,60,85
781,dhelmise,39,2100,181.0,ghost,grass,70,131,100
782,jangmo-o,6,297,60.0,dragon,,45,55,65
783,hakamo-o,12,470,147.0,dragon,fighting,55,75,90
784,kommo-o,16,782,270.0,dragon,fighting,75,110,125
785,tapu-koko,18,205,257.0,electric,fairy,70,115,85
786,tapu-lele,12,186,257.0,psychic,fairy,70,85,75
787,tapu-bulu,19,455,257.0,grass,fairy,70,130,115
788,tapu-fini,13,212,257.0,water,fairy,70,75,115
789,cosmog,2,1,40.0,psychic,,43,29,31
790,cosmoem,1,9999,140.0,psychic,,43,29,131
791,solgaleo,34,2300,306.0,psychic,steel,137,137,107
792,lunala,40,1200,306.0,psychic,ghost,137,113,89
793,nihilego,12,555,257.0,rock,poison,109,53,47
794,buzzwole,24,3336,257.0,bug,fighting,107,139,139
795,pheromosa,18,250,257.0,bug,fighting,71,137,37
796,xurkitree,38,1000,257.0,electric,,83,89,71
797,celesteela,92,9999,257.0,steel,flying,97,101,103
798,kartana,3,1,257.0,grass,steel,59,181,131
799,guzzlord,55,8880,257.0,dark,dragon,223,101,53
800,necrozma,24,2300,270.0,psychic,,97,107,101
801,magearna,10,805,270.0,steel,fairy,80,95,115
802,marshadow,7,222,270.0,fighting,ghost,90,125,80
803,poipole,6,18,189.0,poison,,67,73,67
804,naganadel,36,1500,243.0,poison,dragon,73,73,73
805,stakataka,55,8200,257.0,rock,steel,61,131,211
806,blacephalon,18,130,257.0,fire,ghost,53,127,53
807,zeraora,15,445,270.0,electric,,88,112,75
808,meltan,2,80,135.0,steel,,46,65,65
809,melmetal,25,8000,270.0,steel,,135,143,143
810,grookey,3,50,62.0,grass,,50,65,50
811,thwackey,7,140,147.0,grass,,70,85,70
812,rillaboom,21,900,265.0,grass,,100,125,90
813,scorbunny,3,45,62.0,fire,,50,71,40
814,raboot,6,90,147.0,fire,,65,86,60
815,cinderace,14,330,265.0,fire,,80,116,75
816,sobble,3,40,62.0,water,,50,40,40
817,drizzile,7,115,147.0,water,,65,60,55
818,inteleon,19,452,265.0,water,,70,85,65
819,skwovet,3,25,55.0,normal,,70,55,55
820,greedent,6,60,161.0,normal,,120,95,95
821,rookidee,2,18,49.0,flying,,38,47,35
822,corvisquire,8,160,128.0,flying,,68,67,55
823,corviknight,22,750,248.0,flying,steel,98,87,105
824,blipbug,4,80,36.0,bug,,25,20,20
825,dottler,4,195,117.0,bug,psychic,50,35,80
826,orbeetle,4,408,253.0,bug,psychic,60,45,110
827,nickit,6,89,49.0,dark,,40,28,28
828,thievul,12,199,159.0,dark,,70,58,58
829,gossifleur,4,22,50.0,grass,,40,40,60
830,eldegoss,5,25,161.0,grass,,60,50,90
831,wooloo,6,60,122.0,normal,,42,40,55
832,dubwool,13,430,172.0,normal,,72,80,100
833,chewtle,3,85,57.0,water,,50,64,50
834,drednaw,10,1155,170.0,water,rock,90,115,90
835,yamper,3,135,54.0,electric,,59,45,50
836,boltund,10,340,172.0,electric,,69,90,60
837,rolycoly,3,120,48.0,rock,,30,40,50
838,carkol,11,780,144.0,rock,fire,80,60,90
839,coalossal,28,3105,255.0,rock,fire,110,80,120
840,applin,2,5,52.0,grass,dragon,40,40,80
841,flapple,3,10,170.0,grass,dragon,70,110,80
842,appletun,4,130,170.0,grass,dragon,110,85,80
843,silicobra,22,76,63.0,ground,,52,57,75
844,sandaconda,38,655,179.0,ground,,72,107,125
845,cramorant,8,180,166.0,flying,water,70,85,55
846,arrokuda,5,10,56.0,water,,41,63,40
847,barraskewda,13,300,172.0,water,,61,123,60
848,toxel,4,110,48.0,electric,poison,40,38,35
849,toxtricity-amped,16,400,176.0,electric,poison,75,98,70
850,sizzlipede,7,10,61.0,fire,bug,50,65,45
851,centiskorch,30,1200,184.0,fire,bug,100,115,65
852,clobbopus,6,40,62.0,fighting,,50,68,60
853,grapploct,16,390,168.0,fighting,,80,118,90
854,sinistea,1,2,62.0,ghost,,40,45,45
855,polteageist,2,4,178.0,ghost,,60,65,65
856,hatenna,4,34,53.0,psychic,,42,30,45
857,hattrem,6,48,130.0,psychic,,57,40,65
858,hatterene,21,51,255.0,psychic,fairy,57,90,95
859,impidimp,4,55,53.0,dark,fairy,45,45,30
860,morgrem,8,125,130.0,dark,fairy,65,60,45
861,grimmsnarl,15,610,255.0,dark,fairy,95,120,65
862,obstagoon,16,460,260.0,dark,normal,93,90,101
863,perrserker,8,280,154.0,steel,,70,110,100
864,cursola,10,4,179.0,ghost,,60,95,50
865,sirfetchd,8,1170,177.0,fighting,,62,135,95
866,mr-rime,15,582,182.0,ice,psychic,80,85,75
867,runerigus,16,666,169.0,ground,ghost,58,95,145
868,milcery,2,3,54.0,fairy,,45,40,40
869,alcremie,3,5,173.0,fairy,,65,60,75
870,falinks,30,620,165.0,fighting,,65,100,100
871,pincurchin,3,10,152.0,electric,,48,101,95
872,snom,3,38,37.0,ice,bug,30,25,35
873,frosmoth,13,420,166.0,ice,bug,70,65,60
874,stonjourner,25,5200,165.0,rock,,100,125,135
875,eiscue-ice,14,890,165.0,ice,,75,80,110
876,indeedee-male,9,280,166.0,psychic,normal,60,65,55
877,morpeko-full-belly,3,30,153.0,electric,dark,58,95,58
878,cufant,12,1000,66.0,steel,,72,80,49
879,copperajah,30,6500,175.0,steel,,122,130,69
880,dracozolt,18,1900,177.0,electric,dragon,90,100,90
881,arctozolt,23,1500,177.0,electric,ice,90,100,90
882,dracovish,23,2150,177.0,water,dragon,90,90,100
883,arctovish,20,1750,177.0,water,ice,90,90,100
884,duraludon,18,400,187.0,steel,dragon,70,95,115
885,dreepy,5,20,54.0,dragon,ghost,28,60,30
886,drakloak,14,110,144.0,dragon,ghost,68,80,50
887,dragapult,30,500,300.0,dragon,ghost,88,120,75
888,zacian,28,1100,335.0,fairy,,92,120,115
889,zamazenta,29,2100,335.0,fighting,,92,120,115
890,eternatus,200,9500,345.0,poison,dragon,140,85,95
891,kubfu,6,120,77.0,fighting,,60,90,60
892,urshifu-single-strike,19,1050,275.0,fighting,dark,100,130,100
893,zarude,18,700,300.0,dark,grass,105,120,105
894,regieleki,12,1450,290.0,electric,,80,100,50
895,regidrago,21,2000,290.0,dragon,,200,100,50
896,glastrier,22,8000,290.0,ice,,100,145,130
897,spectrier,20,445,290.0,ghost,,100,65,60
898,calyrex,11,77,250.0,psychic,grass,100,80,80
899,wyrdeer,18,951,263.0,normal,psychic,103,105,72
900,kleavor,18,890,175.0,bug,rock,70,135,95
901,ursaluna,24,2900,275.0,ground,normal,130,140,105
902,basculegion-male,30,1100,265.0,water,ghost,120,112,65
903,sneasler,13,430,102.0,fighting,poison,80,130,60
904,overqwil,25,605,179.0,dark,poison,85,115,95
905,enamorus-incarnate,16,480,116.0,fairy,flying,74,115,70
906,sprigatito,4,41,62.0,grass,,40,61,54
907,floragato,9,122,144.0,grass,,61,80,63
908,meowscarada,15,312,265.0,grass,dark,76,110,70
909,fuecoco,4,98,62.0,fire,,67,45,59
910,crocalor,10,307,144.0,fire,,81,55,78
911,skeledirge,16,3265,265.0,fire,ghost,104,75,100
912,quaxly,5,61,62.0,water,,55,65,45
913,quaxwell,12,215,144.0,water,,70,85,65
914,quaquaval,18,619,265.0,water,fighting,85,120,80
915,lechonk,5,102,51.0,normal,,54,45,40
916,oinkologne-male,10,1200,171.0,normal,,110,100,75
917,tarountula,3,40,42.0,bug,,35,41,45
918,spidops,10,165,141.0,bug,,60,79,92
919,nymble,2,10,42.0,bug,,33,46,40
920,lokix,10,175,158.0,bug,dark,71,102,78
921,pawmi,3,25,48.0,electric,,45,50,20
922,pawmo,4,65,123.0,electric,fighting,60,75,40
923,pawmot,9,410,245.0,electric,fighting,70,115,70
924,tandemaus,3,18,61.0,normal,,50,50,45
925,maushold-family-of-four,3,28,165.0,normal,,74,75,70
926,fidough,3,109,62.0,fairy,,37,55,70
927,dachsbun,5,149,167.0,fairy,,57,80,115
928,smoliv,3,65,52.0,grass,normal,41,35,45
929,dolliv,6,119,124.0,grass,normal,52,53,60
930,arboliva,14,482,255.0,grass,normal,78,69,90
931,squawkabilly-green-plumage,6,24,146.0,normal,flying,82,96,51
932,nacli,4,160,56.0,rock,,55,55,75
933,naclstack,6,1050,124.0,rock,,60,60,100
934,garganacl,23,2400,250.0,rock,,100,100,130
935,charcadet,6,105,51.0,fire,,40,50,40
936,armarouge,15,850,263.0,fire,psychic,85,60,100
937,ceruledge,16,620,263.0,fire,ghost,75,125,80
938,tadbulb,3,4,54.0,electric,,61,31,41
939,bellibolt,12,1130,173.0,electric,,109,64,91
940,wattrel,4,36,56.0,electric,flying,40,40,35
941,kilowattrel,14,386,172.0,electric,flying,70,70,60
942,maschiff,5,160,68.0,dark,,60,78,60
943,mabosstiff,11,610,177.0,dark,,80,120,90
944,shroodle,2,7,58.0,poison,normal,40,65,35
945,grafaiai,7,272,170.0,poison,normal,63,95,65
946,bramblin,6,6,55.0,grass,ghost,40,65,30
947,brambleghast,12,60,168.0,grass,ghost,55,115,70
948,toedscool,9,330,67.0,ground,grass,40,40,35
949,toedscruel,19,580,180.0,ground,grass,80,70,65
950,klawf,13,790,158.0,rock,,70,100,115
951,capsakid,3,30,61.0,grass,,50,62,40
952,scovillain,9,150,170.0,grass,fire,65,108,65
953,rellor,2,10,54.0,bug,,41,50,60
954,rabsca,3,35,165.0,bug,psychic,75,50,85
955,flittle,2,15,51.0,psychic,,30,35,30
956,espathra,19,900,168.0,psychic,,95,60,60
957,tinkatink,4,89,59.0,fairy,steel,50,45,45
958,tinkatuff,7,591,133.0,fairy,steel,65,55,55
959,tinkaton,7,1128,253.0,fairy,steel,85,75,77
960,wiglett,12,18,49.0,water,,10,55,25
961,wugtrio,12,54,149.0,water,,35,100,50
962,bombirdier,15,429,243.0,flying,dark,70,103,85
963,finizen,13,602,63.0,water,,70,45,40
964,palafin-zero,13,602,160.0,water,,100,70,72
965,varoom,10,350,60.0,steel,poison,45,70,63
966,revavroom,18,1200,175.0,steel,poison,80,119,90
967,cyclizar,16,630,175.0,dragon,normal,70,95,65
968,orthworm,25,3100,240.0,steel,,70,85,145
969,glimmet,7,80,70.0,rock,poison,48,35,42
970,glimmora,15,450,184.0,rock,poison,83,55,90
971,greavard,6,350,58.0,ghost,,50,61,60
972,houndstone,20,150,171.0,ghost,,72,101,100
973,flamigo,16,370,175.0,flying,fighting,82,115,74
974,cetoddle,12,450,67.0,ice,,108,68,45
975,cetitan,45,7000,182.0,ice,,170,113,65
976,veluza,25,900,167.0,water,psychic,90,102,73
977,dondozo,120,2200,265.0,water,,150,100,115
978,tatsugiri-curly,3,80,166.0,dragon,water,68,50,60
979,annihilape,12,560,268.0,fighting,ghost,110,115,80
980,clodsire,18,2230,151.0,poison,ground,130,75,60
981,farigiraf,32,1600,260.0,normal,psychic,120,90,70
982,dudunsparce-two-segment,36,392,182.0,normal,,125,100,80
983,kingambit,20,1200,275.0,dark,steel,100,135,120
984,great-tusk,22,3200,285.0,ground,fighting,115,131,131
985,scream-tail,12,80,285.0,fairy,psychic,115,65,99
986,brute-bonnet,12,210,285.0,grass,dark,111,127,99
987,flutter-mane,14,40,285.0,ghost,fairy,55,55,55
988,slither-wing,32,920,285.0,bug,fighting,85,135,79
989,sandy-shocks,23,600,285.0,electric,ground,85,81,97
990,iron-treads,9,2400,285.0,ground,steel,90,112,120
991,iron-bundle,6,110,285.0,ice,water,56,80,114
992,iron-hands,18,3807,285.0,fighting,electric,154,140,108
993,iron-jugulis,13,1110,285.0,dark,flying,94,80,86
994,iron-moth,12,360,285.0,fire,poison,80,70,60
995,iron-thorns,16,3030,285.0,rock,electric,100,134,110
996,frigibax,5,170,64.0,dragon,ice,65,75,45
997,arctibax,8,300,148.0,dragon,ice,90,95,66
998,baxcalibur,21,2100,300.0,dragon,ice,115,145,92
999,gimmighoul,3,50,60.0,ghost,,45,30,70
1000,gholdengo,12,300,275.0,steel,ghost,87,60,95
1001,wo-chien,15,742,285.0,dark,grass,85,85,100
1002,chien-pao,19,1522,285.0,dark,ice,80,120,80
1003,ting-lu,27,6997,285.0,dark,ground,155,110,125
1004,chi-yu,4,49,285.0,dark,fire,55,80,80
1005,roaring-moon,20,3800,295.0,dragon,dark,105,139,71
1006,iron-valiant,14,350,295.0,fairy,fighting,74,130,90
1007,koraidon,25,3030,335.0,fighting,dragon,100,135,115
1008,miraidon,35,2400,335.0,electric,dragon,100,85,100
1009,walking-wake,35,2800,295.0,water,dragon,99,83,91
1010,iron-leaves,15,1250,295.0,grass,psychic,90,130,88
1011,dipplin,4,97,170.0,grass,dragon,80,80,110
1012,poltchageist,1,11,62.0,grass,ghost,40,45,45
1013,sinistcha,2,22,178.0,grass,ghost,71,60,106
1014,okidogi,18,922,278.0,poison,fighting,88,128,115
1015,munkidori,10,122,278.0,poison,psychic,88,75,66
1016,fezandipiti,14,301,278.0,poison,fairy,88,91,82
1017,ogerpon,12,398,275.0,grass,,80,120,84
1018,archaludon,20,600,300.0,steel,dragon,90,105,130
1019,hydrapple,18,930,270.0,grass,dragon,106,80,110
1020,gouging-fire,35,5900,295.0,fire,dragon,105,115,121
1021,raging-bolt,52,4800,295.0,electric,dragon,125,73,91
1022,iron-boulder,15,1625,295.0,rock,psychic,90,120,80
1023,iron-crown,16,1560,295.0,steel,psychic,90,72,100
1024,terapagos,2,65,90.0,normal,,90,65,85
1025,pecharunt,3,3,300.0,poison,ghost,88,88,160
10001,deoxys-attack,17,608,270.0,psychic,,50,180,20
10002,deoxys-defense,17,608,270.0,psychic,,50,70,160
10003,deoxys-speed,17,608,270.0,psychic,,50,95,90
10004,wormadam-sandy,5,65,148.0,bug,ground,60,79,105
10005,wormadam-trash,5,65,148.0,bug,steel,60,69,95
10006,shaymin-sky,4,52,270.0,grass,flying,100,103,75
10007,giratina-origin,69,6500,340.0,ghost,dragon,150,120,100
10008,rotom-heat,3,3,182.0,electric,fire,50,65,107
10009,rotom-wash,3,3,182.0,electric,water,50,65,107
10010,rotom-frost,3,3,182.0,electric,ice,50,65,107
10011,rotom-fan,3,3,182.0,electric,flying,50,65,107
10012,rotom-mow,3,3,182.0,electric,grass,50,65,107
10013,castform-sunny,3,8,147.0,fire,,70,70,70
10014,castform-rainy,3,8,147.0,water,,70,70,70
10015,castform-snowy,3,8,147.0,ice,,70,70,70
10016,basculin-blue-striped,10,180,161.0,water,,70,92,65
10017,darmanitan-zen,13,929,189.0,fire,psychic,105,30,105
10018,meloetta-pirouette,6,65,270.0,normal,fighting,100,128,90
10019,tornadus-therian,14,630,290.0,flying,,79,100,80
10020,thundurus-therian,30,610,290.0,electric,flying,79,105,70
10021,landorus-therian,13,680,300.0,ground,flying,89,145,90
10022,kyurem-black,33,3250,350.0,dragon,ice,125,170,100
10023,kyurem-white,36,3250,350.0,dragon,ice,125,120,90
10024,keldeo-resolute,14,485,290.0,water,fighting,91,72,90
10025,meowstic-female,6,85,163.0,psychic,,74,48,76
